username,Name,url,image_url,description,location
matt-staton,Data Scientist,https://github.com/matt-staton,https://avatars.githubusercontent.com/u/20685724?s=40&v=4,"Looking for an interesting project to make the world a better place. Interested in environmental, political, and health related issues.","Austin, TX"
tyarkoni,Tal Yarkoni,https://github.com/tyarkoni,https://avatars.githubusercontent.com/u/303932?s=40&v=4,data scientist at Twitter,"Austin, TX"
seyma-tas,Seyma Tas,https://github.com/seyma-tas,https://avatars.githubusercontent.com/u/56923862?s=40&v=4,"Data Scientist, Data Analyst, Blogger","Austin, Texas"
datastraine,Anthony Straine,https://github.com/datastraine,https://avatars.githubusercontent.com/u/44213185?s=40&v=4,Hey everyone this is Anthony. I'm an ex signal intelligence analyst turned budding data scientist. I'm interested in using DS to discover and solve problems.,"Austin, TX"
jonthegeek,Jon Harmon,https://github.com/jonthegeek,https://avatars.githubusercontent.com/u/33983824?s=40&v=4,"Chief Data Scientist & Community Manager @r4ds
Former Principal Data Scientist at Macmillan Learning","Austin, TX"
bensmith07,Ben Smith,https://github.com/bensmith07,https://avatars.githubusercontent.com/u/96085296?s=40&v=4,Data Scientist,"Austin, TX"
pomkos,Peter Gates,https://github.com/pomkos,https://avatars.githubusercontent.com/u/8731022?s=40&v=4,Data Scientist,"Austin, TX"
timothyrenner,Timothy Renner,https://github.com/timothyrenner,https://avatars.githubusercontent.com/u/6687064?s=40&v=4,Machine learning engineer / data scientist. Aspiring squatcher.,"Austin, TX"
Anyulund,Anna Nyulund,https://github.com/Anyulund,https://avatars.githubusercontent.com/u/21005224?s=40&v=4,Aerospace engineer/ Reservoir engineer/ Data scientist,Austin
saurabhkumar04,Saurabh Kumar,https://github.com/saurabhkumar04,https://avatars.githubusercontent.com/u/22150735?s=40&v=4,Data Scientist,"Austin, Texas"
